person, group, rep, n, t, t1, t2, correct
4, PG, 0, 1, -0.301, 0.453, 0.455, 1
4, PG, 0, 2, -0.301, 0.453, 0.455, 0
4, PG, 0, 3, -0.301, 0.453, 0.455, 1
4, PG, 0, 4, -0.301, 0.455, 0.455, 0
4, PG, 0, 5, -0.301, 0.451, 0.455, 0
4, PG, 0, 6, -0.301, 0.455, 0.455, 1
4, PG, 0, 7, -0.301, 0.451, 0.454, 0
4, PG, 0, 8, -0.301, 0.451, 0.455, 1
4, PG, 0, 9, -0.301, 0.452, 0.455, 1
4, PG, 0, 10, -0.301, 0.453, 0.455, 0
4, PG, 0, 1, -0.301, 0.452, 0.455, 0
4, PG, 0, 2, -0.301, 0.453, 0.455, 1
4, PG, 0, 3, -0.301, 0.455, 0.455, 1
4, PG, 0, 4, -0.301, 0.455, 0.455, 1
4, PG, 0, 5, -0.301, 0.452, 0.455, 1
4, PG, 0, 6, -0.301, 0.451, 0.451, 1
4, PG, 0, 7, -0.301, 0.452, 0.455, 1
4, PG, 0, 8, -0.301, 0.451, 0.451, 1
4, PG, 0, 9, -0.301, 0.451, 0.453, 1
4, PG, 0, 10, -0.301, 0.451, 0.451, 0
4, PG, 0, 1, -0.301, 0.451, 0.451, 1
4, PG, 0, 2, -0.301, 0.451, 0.453, 0
4, PG, 0, 3, -0.301, 0.451, 0.451, 0
4, PG, 0, 4, -0.301, 0.451, 0.451, 0
4, PG, 0, 5, -0.301, 0.453, 0.455, 1
4, PG, 0, 6, -0.301, 0.451, 0.453, 1
4, PG, 0, 7, -0.301, 0.451, 0.455, 0
4, PG, 0, 8, -0.301, 0.455, 0.455, 1
4, PG, 0, 9, -0.301, 0.451, 0.451, 1
4, PG, 0, 10, -0.301, 0.451, 0.453, 0
4, PG, 0, 1, -0.301, 0.453, 0.455, 1
4, PG, 0, 2, -0.301, 0.453, 0.455, 0
4, PG, 0, 3, -0.301, 0.451, 0.451, 0
4, PG, 0, 4, -0.301, 0.453, 0.455, 1
4, PG, 0, 5, -0.301, 0.451, 0.455, 1
4, PG, 0, 6, -0.301, 0.451, 0.455, 1
4, PG, 0, 7, -0.301, 0.451, 0.451, 0
4, PG, 0, 8, -0.301, 0.451, 0.453, 1
4, PG, 0, 9, -0.301, 0.455, 0.455, 1
4, PG, 0, 10, -0.301, 0.451, 0.453, 1
4, PG, 0, 1, -0.301, 0.453, 0.455, 0
4, PG, 0, 2, -0.301, 0.451, 0.455, 1
4, PG, 0, 3, -0.301, 0.451, 0.451, 1
4, PG, 0, 4, -0.301, 0.451, 0.451, 1
4, PG, 0, 5, -0.301, 0.453, 0.455, 1
4, PG, 0, 6, -0.301, 0.451, 0.451, 1
4, PG, 0, 7, -0.301, 0.451, 0.453, 1
4, PG, 0, 8, -0.301, 0.455, 0.455, 1
4, PG, 0, 9, -0.301, 0.451, 0.453, 1
4, PG, 0, 10, -0.301, 0.453, 0.455, 0
4, PG, 0, 1, -0.301, 0.453, 0.455, 0
4, PG, 0, 2, -0.301, 0.451, 0.453, 0
4, PG, 0, 3, -0.301, 0.455, 0.456, 1
4, PG, 0, 4, -0.301, 0.451, 0.451, 0
4, PG, 0, 5, -0.301, 0.454, 0.455, 0
4, PG, 0, 6, -0.301, 0.451, 0.453, 1
4, PG, 0, 7, -0.301, 0.451, 0.455, 0
4, PG, 0, 8, -0.301, 0.455, 0.455, 1
4, PG, 0, 9, -0.301, 0.451, 0.451, 1
4, PG, 0, 10, -0.301, 0.451, 0.455, 0
4, PG, 0, 1, -0.301, 0.451, 0.453, 0
4, PG, 0, 2, -0.301, 0.453, 0.455, 0
4, PG, 0, 3, -0.301, 0.451, 0.453, 1
4, PG, 0, 4, -0.301, 0.453, 0.451, 0
4, PG, 0, 5, -0.301, 0.451, 0.451, 0
4, PG, 0, 6, -0.301, 0.451, 0.451, 0
4, PG, 0, 7, -0.301, 0.451, 0.453, 1
4, PG, 0, 8, -0.301, 0.453, 0.455, 1
4, PG, 0, 9, -0.301, 0.455, 0.451, 0
4, PG, 0, 10, -0.301, 0.452, 0.455, 1
4, PG, 0, 1, -0.301, 0.451, 0.453, 1
4, PG, 0, 2, -0.301, 0.451, 0.454, 1
4, PG, 0, 3, -0.301, 0.451, 0.451, 1
4, PG, 0, 4, -0.301, 0.454, 0.455, 1
4, PG, 0, 5, -0.301, 0.451, 0.455, 1
4, PG, 0, 6, -0.301, 0.451, 0.453, 1
4, PG, 0, 7, -0.301, 0.451, 0.453, 0
4, PG, 0, 8, -0.301, 0.453, 0.455, 1
4, PG, 0, 9, -0.301, 0.455, 0.455, 1
4, PG, 0, 10, -0.301, 0.451, 0.451, 1
4, PG, 3, 1, -1.187, 0.066, 0.064, 0
4, PG, 1, 1, -0.396, 0.401, 0.403, 0
4, PG, 4, 1, -2.043, 0.011, 0.007, 0
4, PG, 2, 1, -0.754, 0.176, 0.176, 0
4, PG, 4, 2, -0.590, 0.256, 0.258, 0
4, PG, 1, 2, -0.021, 0.955, 0.951, 0
4, PG, 2, 2, -0.020, 0.954, 0.955, 1
4, PG, 3, 2, -0.021, 0.951, 0.955, 1
4, PG, 1, 3, -0.020, 0.953, 0.955, 0
4, PG, 3, 3, -0.301, 0.500, 0.500, 1
4, PG, 2, 3, -0.022, 0.951, 0.951, 1
4, PG, 4, 3, -0.022, 0.951, 0.951, 1
4, PG, 3, 4, -0.549, 0.283, 0.283, 1
4, PG, 1, 4, -0.021, 0.951, 0.955, 0
4, PG, 2, 4, -0.211, 0.617, 0.614, 1
4, PG, 4, 4, -0.043, 0.908, 0.905, 0
4, PG, 4, 5, -0.021, 0.951, 0.955, 1
4, PG, 1, 5, -0.021, 0.952, 0.955, 0
4, PG, 2, 5, -0.374, 0.422, 0.424, 0
4, PG, 3, 5, -0.762, 0.172, 0.174, 0
4, PG, 4, 6, -0.020, 0.955, 0.955, 0
4, PG, 3, 6, -0.350, 0.446, 0.447, 0
4, PG, 2, 6, -0.021, 0.951, 0.955, 0
4, PG, 1, 6, -0.020, 0.955, 0.955, 1
4, PG, 2, 7, -0.021, 0.951, 0.955, 1
4, PG, 3, 7, -0.021, 0.951, 0.955, 0
4, PG, 1, 7, -0.021, 0.951, 0.955, 1
4, PG, 4, 7, -0.021, 0.951, 0.953, 0
4, PG, 4, 8, -0.021, 0.951, 0.953, 1
4, PG, 2, 8, -0.021, 0.951, 0.954, 1
4, PG, 1, 8, -0.022, 0.951, 0.951, 0
4, PG, 3, 8, -0.021, 0.951, 0.953, 1
4, PG, 4, 9, -0.021, 0.951, 0.955, 1
4, PG, 1, 9, -0.021, 0.951, 0.955, 1
4, PG, 3, 9, -0.021, 0.951, 0.953, 1
4, PG, 2, 9, -0.022, 0.951, 0.951, 1
4, PG, 2, 10, -0.020, 0.953, 0.955, 1
4, PG, 3, 10, -0.021, 0.951, 0.954, 1
4, PG, 1, 10, -0.020, 0.955, 0.955, 0
4, PG, 4, 10, -0.020, 0.953, 0.955, 0
4, PG, 3, 11, -0.020, 0.953, 0.956, 0
4, PG, 4, 11, -0.021, 0.951, 0.955, 1
4, PG, 1, 11, -0.020, 0.953, 0.955, 1
4, PG, 2, 11, -0.040, 0.910, 0.913, 1
4, PG, 1, 12, -0.021, 0.952, 0.955, 1
4, PG, 3, 12, -0.021, 0.951, 0.955, 1
4, PG, 2, 12, -0.107, 0.781, 0.781, 0
4, PG, 4, 12, -0.021, 0.951, 0.955, 1
4, PG, 4, 13, -0.021, 0.951, 0.953, 1
4, PG, 3, 13, -0.021, 0.951, 0.955, 1
4, PG, 2, 13, -0.022, 0.951, 0.951, 0
4, PG, 1, 13, -0.021, 0.951, 0.955, 1
4, PG, 2, 14, -0.021, 0.951, 0.953, 1
4, PG, 3, 14, -0.021, 0.951, 0.953, 1
4, PG, 4, 14, -0.021, 0.951, 0.955, 0
4, PG, 1, 14, -0.020, 0.953, 0.956, 1
4, PG, 3, 15, -0.021, 0.951, 0.953, 0
4, PG, 4, 15, -0.021, 0.951, 0.953, 1
4, PG, 1, 15, -0.020, 0.953, 0.955, 1
4, PG, 2, 15, -0.020, 0.953, 0.955, 1
