person, group, rep, n, t, t1, t2, correct
3, CM, 0, 1, -0.602, 0.217, 0.217, 0
3, CM, 0, 2, -0.602, 0.217, 0.217, 1
3, CM, 0, 3, -0.602, 0.217, 0.217, 1
3, CM, 0, 4, -0.602, 0.217, 0.217, 1
3, CM, 0, 5, -0.602, 0.217, 0.217, 1
3, CM, 0, 6, -0.602, 0.217, 0.217, 0
3, CM, 0, 7, -0.602, 0.217, 0.217, 1
3, CM, 0, 8, -0.602, 0.217, 0.217, 1
3, CM, 0, 9, -0.602, 0.217, 0.217, 1
3, CM, 0, 10, -0.602, 0.217, 0.217, 0
3, CM, 0, 11, -0.602, 0.217, 0.217, 1
3, CM, 0, 12, -0.602, 0.217, 0.217, 1
3, CM, 0, 13, -0.602, 0.217, 0.217, 0
3, CM, 0, 14, -0.602, 0.217, 0.217, 1
3, CM, 0, 15, -0.602, 0.217, 0.217, 0
3, CM, 2, 1, -0.664, 0.217, 0.217, 1
3, CM, 1, 1, -0.315, 0.484, 0.484, 0
3, CM, 3, 1, -1.078, 0.083, 0.084, 1
3, CM, 4, 1, -1.477, 0.033, 0.033, 0
3, CM, 4, 2, -0.209, 0.617, 0.617, 0
3, CM, 3, 2, -1.778, 0.017, 0.017, 0
3, CM, 1, 2, 0.162, 1.451, 1.451, 1
3, CM, 2, 2, -1.476, 0.033, 0.033, 0
3, CM, 2, 3, -0.259, 0.551, 0.551, 1
3, CM, 4, 3, 0.167, 1.468, 1.468, 1
3, CM, 1, 3, 0.167, 1.468, 1.468, 1
3, CM, 3, 3, -0.547, 0.284, 0.284, 0
3, CM, 1, 4, 0.167, 1.468, 1.468, 1
3, CM, 2, 4, -0.664, 0.217, 0.217, 0
3, CM, 4, 4, 0.167, 1.468, 1.468, 0
3, CM, 3, 4, 0.164, 1.451, 1.468, 1
3, CM, 1, 5, 0.052, 1.135, 1.118, 1
3, CM, 2, 5, 0.167, 1.468, 1.468, 0
3, CM, 4, 5, 0.167, 1.468, 1.468, 0
3, CM, 3, 5, 0.157, 1.435, 1.435, 1
3, CM, 4, 6, 0.167, 1.468, 1.468, 1
3, CM, 3, 6, -0.007, 0.985, 0.984, 1
3, CM, 2, 6, 0.162, 1.452, 1.452, 1
3, CM, 1, 6, -0.045, 0.901, 0.901, 1
3, CM, 3, 7, -0.124, 0.751, 0.751, 1
3, CM, 2, 7, 0.167, 1.468, 1.468, 1
3, CM, 1, 7, -0.124, 0.751, 0.751, 1
3, CM, 4, 7, 0.164, 1.468, 1.452, 1
3, CM, 2, 8, 0.167, 1.468, 1.468, 1
3, CM, 4, 8, 0.167, 1.468, 1.468, 1
3, CM, 1, 8, -0.187, 0.651, 0.651, 1
3, CM, 3, 8, -0.221, 0.601, 0.601, 1
3, CM, 1, 9, -0.259, 0.551, 0.551, 1
3, CM, 4, 9, 0.164, 1.451, 1.468, 1
3, CM, 2, 9, 0.167, 1.468, 1.468, 1
3, CM, 3, 9, -0.316, 0.484, 0.484, 1
3, CM, 2, 10, 0.164, 1.452, 1.468, 1
3, CM, 3, 10, -0.380, 0.417, 0.417, 0
3, CM, 4, 10, 0.167, 1.468, 1.468, 0
3, CM, 1, 10, -0.330, 0.467, 0.467, 1
3, CM, 2, 11, 0.147, 1.402, 1.402, 1
3, CM, 4, 11, 0.164, 1.451, 1.468, 1
3, CM, 3, 11, -0.187, 0.651, 0.651, 1
3, CM, 1, 11, -0.456, 0.350, 0.350, 1
3, CM, 1, 12, -0.903, 0.133, 0.117, 1
3, CM, 3, 12, -0.234, 0.584, 0.584, 1
3, CM, 4, 12, 0.164, 1.468, 1.452, 1
3, CM, 2, 12, 0.022, 1.051, 1.051, 1
3, CM, 4, 13, 0.164, 1.468, 1.452, 1
3, CM, 3, 13, -0.272, 0.534, 0.534, 1
3, CM, 2, 13, -0.176, 0.667, 0.667, 1
3, CM, 1, 13, -1.777, 0.017, 0.017, 0
3, CM, 1, 14, -0.736, 0.184, 0.184, 1
3, CM, 2, 14, -0.331, 0.467, 0.467, 1
3, CM, 4, 14, 0.164, 1.468, 1.452, 1
3, CM, 3, 14, -0.315, 0.484, 0.484, 0
3, CM, 1, 15, -1.175, 0.067, 0.067, 0
3, CM, 3, 15, -0.221, 0.601, 0.600, 0
3, CM, 4, 15, 0.167, 1.468, 1.468, 1
3, CM, 2, 15, -0.435, 0.367, 0.367, 1
3, CM, 4, 16, 0.167, 1.468, 1.468, 1
3, CM, 3, 16, -0.106, 0.784, 0.784, 1
3, CM, 2, 16, -0.523, 0.300, 0.300, 1
3, CM, 1, 16, -0.499, 0.317, 0.317, 1
3, CM, 1, 17, -0.778, 0.167, 0.167, 1
3, CM, 4, 17, 0.167, 1.468, 1.468, 1
3, CM, 3, 17, -0.144, 0.717, 0.718, 1
3, CM, 2, 17, -0.573, 0.267, 0.267, 0
3, CM, 1, 18, -0.932, 0.117, 0.117, 0
3, CM, 2, 18, -0.416, 0.384, 0.384, 1
3, CM, 3, 18, -0.176, 0.667, 0.667, 1
3, CM, 4, 18, 0.164, 1.452, 1.468, 1
3, CM, 3, 19, -0.198, 0.634, 0.634, 1
3, CM, 1, 19, -0.574, 0.267, 0.267, 1
3, CM, 2, 19, -0.455, 0.350, 0.350, 1
3, CM, 4, 19, 0.167, 1.468, 1.468, 1
3, CM, 2, 20, -0.499, 0.317, 0.317, 1
3, CM, 4, 20, 0.164, 1.468, 1.452, 1
3, CM, 3, 20, -0.209, 0.617, 0.617, 1
3, CM, 1, 20, -0.736, 0.184, 0.184, 1
3, CM, 2, 21, -0.522, 0.300, 0.300, 1
3, CM, 1, 21, -0.823, 0.150, 0.150, 1
3, CM, 4, 21, 0.167, 1.468, 1.468, 1
3, CM, 3, 21, -0.234, 0.584, 0.584, 1
3, CM, 2, 22, -0.574, 0.267, 0.267, 1
3, CM, 1, 22, -0.932, 0.117, 0.117, 1
3, CM, 3, 22, -0.246, 0.567, 0.567, 1
3, CM, 4, 22, 0.157, 1.435, 1.435, 1
3, CM, 2, 23, -0.574, 0.267, 0.267, 0
3, CM, 4, 23, 0.147, 1.402, 1.402, 1
3, CM, 1, 23, -0.933, 0.117, 0.117, 0
3, CM, 3, 23, -0.259, 0.551, 0.551, 1
3, CM, 4, 24, 0.136, 1.368, 1.368, 1
3, CM, 2, 24, -0.522, 0.300, 0.300, 1
3, CM, 1, 24, -0.875, 0.133, 0.133, 0
3, CM, 3, 24, -0.272, 0.534, 0.534, 1
3, CM, 1, 25, -0.736, 0.184, 0.184, 1
3, CM, 3, 25, -0.273, 0.534, 0.534, 0
3, CM, 2, 25, -0.547, 0.284, 0.284, 1
3, CM, 4, 25, 0.125, 1.335, 1.335, 1
3, CM, 1, 26, -0.823, 0.150, 0.150, 1
