person, group, rep, n, t, t1, t2, correct
12, P2, 0, 1, -0.301, 0.458, 0.458, 1
12, P2, 0, 2, -0.301, 0.458, 0.458, 0
12, P2, 0, 3, -0.301, 0.458, 0.458, 1
12, P2, 0, 4, -0.301, 0.458, 0.458, 1
12, P2, 0, 5, -0.301, 0.458, 0.458, 0
12, P2, 0, 6, -0.301, 0.458, 0.458, 1
12, P2, 0, 7, -0.301, 0.458, 0.458, 1
12, P2, 0, 8, -0.301, 0.458, 0.458, 1
12, P2, 0, 9, -0.301, 0.458, 0.458, 0
12, P2, 0, 10, -0.301, 0.458, 0.458, 0
12, P2, 0, 1, -0.301, 0.458, 0.458, 1
12, P2, 0, 2, -0.301, 0.458, 0.458, 1
12, P2, 0, 3, -0.301, 0.458, 0.458, 1
12, P2, 0, 4, -0.301, 0.458, 0.458, 1
12, P2, 0, 5, -0.301, 0.458, 0.458, 1
12, P2, 0, 6, -0.301, 0.458, 0.458, 1
12, P2, 0, 7, -0.301, 0.458, 0.458, 1
12, P2, 0, 8, -0.301, 0.458, 0.458, 1
12, P2, 0, 9, -0.301, 0.458, 0.458, 1
12, P2, 0, 10, -0.301, 0.458, 0.458, 0
12, P2, 1, 1, -0.389, 0.408, 0.408, 1
12, P2, 3, 1, -1.176, 0.067, 0.067, 0
12, P2, 4, 1, -2.083, 0.008, 0.008, 1
12, P2, 2, 1, -0.737, 0.183, 0.183, 1
12, P2, 1, 2, -1.038, 0.092, 0.092, 1
12, P2, 2, 2, -1.603, 0.025, 0.025, 0
12, P2, 3, 2, -0.019, 0.958, 0.958, 1
12, P2, 4, 2, -2.080, 0.008, 0.008, 0
12, P2, 1, 3, -2.077, 0.008, 0.008, 0
12, P2, 3, 3, -0.287, 0.517, 0.517, 1
12, P2, 4, 3, -0.717, 0.192, 0.192, 0
12, P2, 2, 3, -0.446, 0.358, 0.358, 0
12, P2, 3, 4, -0.535, 0.292, 0.292, 1
12, P2, 4, 4, -0.018, 0.958, 0.958, 1
12, P2, 1, 4, -1.079, 0.083, 0.083, 1
12, P2, 2, 4, -0.018, 0.958, 0.958, 1
12, P2, 3, 5, -0.737, 0.183, 0.183, 1
12, P2, 1, 5, -1.780, 0.017, 0.017, 0
12, P2, 2, 5, -0.018, 0.958, 0.958, 1
12, P2, 4, 5, -0.115, 0.767, 0.767, 1
12, P2, 4, 6, -0.273, 0.533, 0.533, 1
12, P2, 2, 6, -0.034, 0.925, 0.925, 1
12, P2, 1, 6, -1.301, 0.050, 0.050, 0
12, P2, 3, 6, -0.933, 0.117, 0.117, 0
12, P2, 1, 7, -0.523, 0.300, 0.300, 1
12, P2, 4, 7, -0.398, 0.400, 0.400, 1
12, P2, 3, 7, -0.588, 0.258, 0.258, 1
12, P2, 2, 7, -0.176, 0.667, 0.667, 1
12, P2, 3, 8, -0.718, 0.192, 0.192, 1
12, P2, 1, 8, -0.875, 0.133, 0.133, 1
12, P2, 2, 8, -0.287, 0.517, 0.517, 1
12, P2, 4, 8, -0.511, 0.308, 0.308, 1
12, P2, 1, 9, -1.176, 0.067, 0.067, 1
12, P2, 2, 9, -0.380, 0.417, 0.417, 0
12, P2, 4, 9, -0.617, 0.242, 0.242, 1
12, P2, 3, 9, -0.800, 0.158, 0.158, 1
12, P2, 4, 10, -0.717, 0.192, 0.192, 1
12, P2, 1, 10, -1.381, 0.042, 0.042, 0
12, P2, 3, 10, -0.875, 0.133, 0.133, 1
12, P2, 2, 10, -0.150, 0.708, 0.708, 1
12, P2, 1, 11, -1.175, 0.067, 0.067, 1
12, P2, 4, 11, -0.849, 0.142, 0.142, 1
12, P2, 2, 11, -0.210, 0.617, 0.617, 1
12, P2, 3, 11, -0.965, 0.108, 0.108, 1
12, P2, 4, 12, -1.234, 0.058, 0.058, 1
12, P2, 3, 12, -1.000, 0.100, 0.100, 1
12, P2, 2, 12, -0.260, 0.550, 0.550, 1
12, P2, 1, 12, -1.381, 0.042, 0.042, 0
12, P2, 1, 13, -1.234, 0.058, 0.058, 0
12, P2, 4, 13, -2.085, 0.008, 0.008, 0
12, P2, 3, 13, -1.080, 0.083, 0.083, 1
12, P2, 2, 13, -0.294, 0.508, 0.508, 1
12, P2, 1, 14, -1.038, 0.092, 0.092, 0
12, P2, 3, 14, -1.177, 0.067, 0.067, 1
12, P2, 4, 14, -1.478, 0.033, 0.033, 0
12, P2, 2, 14, -0.331, 0.467, 0.467, 1
12, P2, 3, 15, -1.381, 0.042, 0.042, 1
12, P2, 1, 15, -0.648, 0.225, 0.225, 1
12, P2, 4, 15, -0.849, 0.142, 0.142, 1
12, P2, 2, 15, -0.363, 0.433, 0.433, 1
12, P2, 1, 16, -0.849, 0.142, 0.142, 1
12, P2, 2, 16, -0.398, 0.400, 0.400, 1
12, P2, 4, 16, -1.079, 0.083, 0.083, 1
12, P2, 3, 16, -2.082, 0.008, 0.008, 1
12, P2, 2, 17, -0.436, 0.367, 0.367, 1
12, P2, 4, 17, -1.381, 0.042, 0.042, 1
12, P2, 3, 17, -2.086, 0.008, 0.008, 1
12, P2, 1, 17, -1.000, 0.100, 0.100, 1
12, P2, 2, 18, -0.477, 0.333, 0.333, 0
12, P2, 4, 18, -1.603, 0.025, 0.025, 1
12, P2, 3, 18, -2.085, 0.008, 0.008, 1
12, P2, 1, 18, -1.079, 0.083, 0.083, 1
12, P2, 1, 19, -1.177, 0.067, 0.067, 1
12, P2, 4, 19, -1.780, 0.017, 0.017, 1
12, P2, 3, 19, -2.086, 0.008, 0.008, 1
12, P2, 2, 19, -0.363, 0.433, 0.433, 1
12, P2, 2, 20, -0.380, 0.417, 0.417, 1
12, P2, 1, 20, -1.234, 0.058, 0.058, 1
12, P2, 3, 20, -2.085, 0.008, 0.008, 0
12, P2, 4, 20, -2.081, 0.008, 0.008, 0
12, P2, 2, 21, -0.398, 0.400, 0.400, 1
12, P2, 3, 21, -2.082, 0.008, 0.008, 0
12, P2, 4, 21, -2.078, 0.008, 0.008, 1
12, P2, 1, 21, -1.234, 0.058, 0.058, 1
12, P2, 4, 22, -2.083, 0.008, 0.008, 1
12, P2, 2, 22, -0.416, 0.383, 0.383, 1
12, P2, 1, 22, -1.301, 0.050, 0.050, 0
12, P2, 3, 22, -1.380, 0.042, 0.042, 0
12, P2, 3, 23, -1.125, 0.075, 0.075, 1
12, P2, 2, 23, -0.436, 0.367, 0.367, 1
12, P2, 1, 23, -1.234, 0.058, 0.058, 0
12, P2, 4, 23, -2.083, 0.008, 0.008, 1
12, P2, 1, 24, -1.177, 0.067, 0.067, 1
12, P2, 4, 24, -2.081, 0.008, 0.008, 1
12, P2, 2, 24, -0.466, 0.342, 0.342, 1
12, P2, 3, 24, -1.176, 0.067, 0.067, 0
12, P2, 2, 25, -0.488, 0.325, 0.325, 0
12, P2, 1, 25, -1.234, 0.058, 0.058, 1
12, P2, 3, 25, -1.079, 0.083, 0.083, 0
12, P2, 4, 25, -2.082, 0.008, 0.008, 0
12, P2, 3, 26, -1.000, 0.100, 0.100, 1
12, P2, 2, 26, -0.416, 0.383, 0.383, 1
12, P2, 4, 26, -2.087, 0.008, 0.008, 1
12, P2, 1, 26, -1.301, 0.050, 0.050, 1
12, P2, 2, 27, -0.426, 0.375, 0.375, 1
12, P2, 1, 27, -1.301, 0.050, 0.050, 1
12, P2, 3, 27, -1.038, 0.092, 0.092, 1
12, P2, 4, 27, -2.084, 0.008, 0.008, 0
12, P2, 2, 28, -0.446, 0.358, 0.358, 1
12, P2, 4, 28, -2.080, 0.008, 0.008, 1
12, P2, 1, 28, -1.301, 0.050, 0.050, 1
12, P2, 3, 28, -1.079, 0.083, 0.083, 1
12, P2, 2, 29, -0.456, 0.350, 0.350, 0
12, P2, 1, 29, -1.381, 0.042, 0.042, 1
12, P2, 3, 29, -1.125, 0.075, 0.075, 1
12, P2, 4, 29, -2.081, 0.008, 0.008, 1
12, P2, 2, 30, -0.416, 0.383, 0.383, 1
12, P2, 4, 30, -2.082, 0.008, 0.008, 1
12, P2, 3, 30, -1.176, 0.067, 0.067, 1
12, P2, 1, 30, -1.381, 0.042, 0.042, 1
12, P2, 2, 31, -0.426, 0.375, 0.375, 1
12, P2, 4, 31, -2.083, 0.008, 0.008, 0
12, P2, 1, 31, -1.381, 0.042, 0.042, 1
12, P2, 3, 31, -1.176, 0.067, 0.067, 1
12, P2, 1, 32, -1.477, 0.033, 0.033, 1
12, P2, 4, 32, -2.083, 0.008, 0.008, 0
12, P2, 2, 32, -0.436, 0.367, 0.367, 1
12, P2, 3, 32, -1.234, 0.058, 0.058, 1
12, P2, 3, 33, -1.234, 0.058, 0.058, 0
12, P2, 1, 33, -1.478, 0.033, 0.033, 1
12, P2, 4, 33, -2.082, 0.008, 0.008, 1
12, P2, 2, 33, -0.446, 0.358, 0.358, 1
12, P2, 3, 34, -1.176, 0.067, 0.067, 1
12, P2, 2, 34, -0.456, 0.350, 0.350, 1
12, P2, 4, 34, -2.082, 0.008, 0.008, 0
12, P2, 1, 34, -1.478, 0.033, 0.033, 1
12, P2, 4, 35, -2.085, 0.008, 0.008, 1
12, P2, 2, 35, -0.466, 0.342, 0.342, 0
12, P2, 3, 35, -1.234, 0.058, 0.058, 1
12, P2, 1, 35, -1.478, 0.033, 0.033, 1
12, P2, 1, 36, -1.478, 0.033, 0.033, 1
12, P2, 4, 36, -2.085, 0.008, 0.008, 0
12, P2, 2, 36, -0.436, 0.367, 0.367, 1
12, P2, 3, 36, -1.234, 0.058, 0.058, 1
12, P2, 2, 37, -0.446, 0.358, 0.358, 1
12, P2, 1, 37, -1.477, 0.033, 0.033, 1
12, P2, 4, 37, -2.084, 0.008, 0.008, 0
12, P2, 3, 37, -1.301, 0.050, 0.050, 1
12, P2, 3, 38, -1.302, 0.050, 0.050, 1
12, P2, 1, 38, -1.479, 0.033, 0.033, 0
12, P2, 4, 38, -2.082, 0.008, 0.008, 0
12, P2, 2, 38, -0.456, 0.350, 0.350, 1
12, P2, 2, 39, -0.456, 0.350, 0.350, 1
12, P2, 1, 39, -1.477, 0.033, 0.033, 0
12, P2, 3, 39, -1.381, 0.042, 0.042, 0
12, P2, 4, 39, -2.082, 0.008, 0.008, 1
12, P2, 3, 40, -1.301, 0.050, 0.050, 1
12, P2, 1, 40, -1.478, 0.033, 0.033, 1
12, P2, 2, 40, -0.466, 0.342, 0.342, 1
12, P2, 4, 40, -2.084, 0.008, 0.008, 1
