person, group, rep, n, t, t1, t2, correct
3, P6M, 0, 1, -0.301, 0.455, 0.455, 1
3, P6M, 0, 2, -0.301, 0.451, 0.451, 1
3, P6M, 0, 3, -0.301, 0.451, 0.451, 1
3, P6M, 0, 4, -0.301, 0.453, 0.455, 1
3, P6M, 0, 5, -0.301, 0.451, 0.453, 1
3, P6M, 0, 6, -0.301, 0.452, 0.455, 1
3, P6M, 0, 7, -0.301, 0.456, 0.455, 1
3, P6M, 0, 8, -0.301, 0.451, 0.451, 1
3, P6M, 0, 9, -0.301, 0.453, 0.456, 1
3, P6M, 0, 10, -0.301, 0.451, 0.451, 1
3, P6M, 4, 1, -2.086, 0.009, 0.007, 0
3, P6M, 3, 1, -1.190, 0.063, 0.066, 0
3, P6M, 2, 1, -0.744, 0.180, 0.180, 1
3, P6M, 1, 1, -0.393, 0.403, 0.405, 1
3, P6M, 3, 2, -0.020, 0.953, 0.955, 1
3, P6M, 2, 2, -1.720, 0.018, 0.020, 1
3, P6M, 1, 2, -1.049, 0.090, 0.089, 1
3, P6M, 4, 2, -0.606, 0.248, 0.248, 1
3, P6M, 4, 3, -1.077, 0.085, 0.083, 1
3, P6M, 1, 3, -2.070, 0.011, 0.006, 1
3, P6M, 2, 3, -2.070, 0.012, 0.005, 0
3, P6M, 3, 3, -0.304, 0.497, 0.497, 1
3, P6M, 3, 4, -0.551, 0.282, 0.280, 1
3, P6M, 1, 4, -2.071, 0.011, 0.006, 0
3, P6M, 2, 4, -1.086, 0.082, 0.082, 1
3, P6M, 4, 4, -1.736, 0.017, 0.020, 1
3, P6M, 2, 5, -2.112, 0.008, 0.008, 0
3, P6M, 3, 5, -0.762, 0.173, 0.172, 1
3, P6M, 4, 5, -2.079, 0.011, 0.006, 1
3, P6M, 1, 5, -1.238, 0.060, 0.056, 1
3, P6M, 2, 6, -1.519, 0.028, 0.033, 0
3, P6M, 1, 6, -2.115, 0.010, 0.006, 1
3, P6M, 3, 6, -0.970, 0.108, 0.106, 1
3, P6M, 4, 6, -2.071, 0.011, 0.006, 1
3, P6M, 1, 7, -2.079, 0.011, 0.005, 1
3, P6M, 4, 7, -2.283, 0.003, 0.007, 1
3, P6M, 3, 7, -1.175, 0.068, 0.066, 1
3, P6M, 2, 7, -0.723, 0.188, 0.191, 1
3, P6M, 4, 8, -2.169, 0.008, 0.005, 1
3, P6M, 1, 8, -2.085, 0.011, 0.005, 0
3, P6M, 3, 8, -1.425, 0.036, 0.039, 1
3, P6M, 2, 8, -1.135, 0.074, 0.072, 1
3, P6M, 3, 9, -2.028, 0.013, 0.005, 0
3, P6M, 1, 9, -2.198, 0.006, 0.006, 0
3, P6M, 2, 9, -1.475, 0.035, 0.032, 1
3, P6M, 4, 9, -2.076, 0.011, 0.005, 1
3, P6M, 2, 10, -1.680, 0.020, 0.022, 1
3, P6M, 3, 10, -1.306, 0.051, 0.048, 0
3, P6M, 4, 10, -2.185, 0.008, 0.005, 1
3, P6M, 1, 10, -1.843, 0.015, 0.014, 1
3, P6M, 1, 11, -2.077, 0.011, 0.005, 0
3, P6M, 3, 11, -1.025, 0.094, 0.095, 0
3, P6M, 4, 11, -2.112, 0.010, 0.006, 1
3, P6M, 2, 11, -1.940, 0.009, 0.014, 1
3, P6M, 3, 12, -0.755, 0.174, 0.178, 1
3, P6M, 4, 12, -2.029, 0.013, 0.006, 0
3, P6M, 1, 12, -2.206, 0.006, 0.006, 0
3, P6M, 2, 12, -2.257, 0.006, 0.005, 0
3, P6M, 2, 13, -2.071, 0.006, 0.011, 0
