Row,s01,s02,s03,s04,s05,s06,s07,s08,s09,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25
P2,0.7716,1.0805,1.0311,1.2746,1.6906,0.9211,1.2619,0.8250,0.9228,1.1094,0.6875,1.2028,0.9007,0.9809,0.6356,0.9047,0.5312,0.6859,1.1248,0.6960,0.7142,0.2849,0.5618,1.0789,0.9652
PM,0.6283,1.1160,1.0689,1.4820,1.6391,0.8843,1.5438,0.9627,1.0444,1.3257,0.4988,1.5952,0.9921,0.8193,0.6451,1.0291,0.7777,0.6934,1.1516,0.6697,0.7393,0.5103,0.5285,1.1742,0.9921
PG,0.7657,0.9401,1.0441,1.5861,1.6095,0.9891,1.6212,0.9018,0.9890,0.9743,0.7045,1.5514,0.8178,0.9813,0.7418,1.0612,0.6162,0.6206,1.1110,0.6306,0.7619,0.3267,0.6045,1.0480,1.0233
CM,0.6440,1.1500,1.3082,1.3423,1.7469,0.9359,1.4175,0.9258,1.0742,1.1464,0.7067,1.7278,0.8712,1.0519,0.6396,1.1174,0.8947,0.8805,1.2310,0.7680,0.7941,0.3398,0.5789,1.4586,1.0429
PMM,0.6533,1.3144,1.3663,1.2795,1.7023,1.0879,1.5201,1.0265,1.0108,1.2217,0.4244,1.7878,0.8928,0.8635,0.5789,1.1355,0.9101,0.7569,1.2368,0.8090,0.8667,0.3689,0.6113,1.3171,1.0660
PMG,0.7024,1.2256,1.0999,1.3765,1.9186,1.0503,1.5095,0.9637,1.0684,1.2269,0.5067,1.3797,0.9668,1.0375,0.6518,1.1782,0.9108,0.6359,1.2501,0.6727,0.6836,0.5006,0.6348,1.5302,1.0793
PGG,0.6068,1.0472,1.1120,1.3560,1.6966,0.9406,1.4249,0.8524,1.1134,1.1883,0.6826,1.3450,0.9215,0.8931,0.5594,1.3213,0.7549,0.6031,1.1416,0.6958,0.8429,0.4246,0.7579,1.1220,0.9218
CMM,0.7437,0.9918,1.2771,1.2091,1.6472,1.0532,1.6981,0.9333,1.0314,1.1761,0.5644,1.5320,1.1682,1.2420,0.5735,1.4188,0.9022,0.8522,1.2517,0.7089,0.8160,0.4684,0.7140,1.1535,0.9492
P4,0.7006,1.1809,1.3335,1.5131,1.8792,0.9850,1.3552,0.8943,1.1162,1.2259,0.5749,1.3909,0.8850,0.9579,0.6201,1.0905,0.7109,0.7135,1.1412,0.6427,0.6526,0.6077,0.5840,1.2780,0.9372
P4M,0.7112,1.2264,1.2975,1.3920,1.7905,1.0501,1.8814,0.7872,1.4918,1.2810,0.4851,1.5997,0.9904,1.2797,0.5683,1.3527,1.1182,0.8894,1.3689,0.5851,0.6255,0.5562,0.6141,1.3656,1.0967
P4G,0.6678,1.1736,1.1405,1.4089,1.7853,1.0329,1.5665,0.8509,1.2676,1.2737,0.4656,1.4683,1.0844,1.0212,0.6676,1.1706,0.8732,0.6607,1.1952,0.7764,0.6985,0.3065,0.6761,1.4037,1.0780
P3,0.7332,1.1624,1.1886,1.3491,1.6379,1.0111,1.4460,0.9214,0.9071,1.1879,0.6366,1.5417,0.8879,1.0311,0.5350,1.2237,0.7932,1.0549,1.1033,0.6635,0.7151,0.4164,0.6056,1.3271,1.0984
P3M1,0.7978,1.3247,1.4499,1.4637,1.6282,1.1158,1.4668,0.9628,1.0150,1.1907,0.6652,2.1839,1.0984,1.1086,0.6974,1.4203,1.0020,0.9417,1.0762,0.8288,0.7252,0.5453,0.7428,1.4507,0.9852
P31M,0.6345,1.2656,1.2147,1.3336,1.7705,0.8028,1.5660,0.7736,0.8081,1.1118,0.5869,1.5996,0.9857,0.9760,0.7064,1.0464,0.8435,0.8199,1.0837,0.8469,0.5802,0.5743,0.8494,1.1695,1.0918
P6,0.6295,1.2062,1.3233,1.3619,1.8073,1.0662,1.8135,0.8802,1.3402,1.1657,0.6392,1.6385,1.0972,1.1416,0.6078,1.2847,0.9187,0.8713,1.2315,0.6143,0.6749,0.4045,0.6880,1.1955,0.9690
P6M,0.7206,1.1159,1.1257,1.3543,1.9315,0.9427,1.5804,0.7703,1.2119,1.2170,0.5669,1.8192,1.0924,1.0788,0.6402,1.4562,0.8898,0.8591,1.1907,0.6974,0.6955,0.4664,0.8199,1.3282,1.2102
